Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
ERR3959020	NA	ERR3959020.contig00004	92792	94708	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_002364936.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
ERR3959020	NA	ERR3959020.contig00008	82389	82883	-	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
ERR3959020	NA	ERR3959020.contig00011	99313	100806	+	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.40	498	WP_002365053.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
ERR3959020	NA	ERR3959020.contig00018	5175	6599	+	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	475	475	100.00	99.16	475	WP_032491576.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NA	NA
ERR3959020	NA	ERR3959020.contig00018	7100	9064	+	optrA	ABC-F type ribosomal protection protein OptrA	core	AMR	AMR	OXAZOLIDINONE/PHENICOL	FLORFENICOL/OXAZOLIDINONE	BLASTX	655	655	100.00	96.95	655	WP_063854496.1	ABC-F type ribosomal protection protein OptrA	NA	NA
ERR3959020	NA	ERR3959020.contig00018	12682	13752	-	cfr(D)	23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(D)	core	AMR	AMR	LINCOSAMIDE/OXAZOLIDINONE/PHENICOL/PLEUROMUTILIN/STREPTOGRAMIN	CHLORAMPHENICOL/CLINDAMYCIN/LINEZOLID/STREPTOGRAMIN B/TEDIZOLID/TIAMULIN	EXACTX	357	357	100.00	100.00	357	WP_105459893.1	23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(D)	NA	NA
ERR3959020	NA	ERR3959020.contig00020	4089	4823	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
ERR3959020	NA	ERR3959020.contig00025	165	1010	-	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	282	282	100.00	100.00	282	WP_010711054.1	streptomycin adenylyltransferase Str	NA	NA
ERR3959020	NA	ERR3959020.contig00031	3	506	-	catA	type A-8 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	PARTIAL_CONTIG_ENDX	168	215	78.14	98.21	168	WP_002352254.1	type A-8 chloramphenicol O-acetyltransferase	NA	NA
ERR3959021	NA	ERR3959021.contig00002	414114	415607	-	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.40	498	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
ERR3959021	NA	ERR3959021.contig00003	11626	14085	-	parC_S80I	Enterococcus faecalis quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	820	820	100.00	99.76	820	WP_002371880.1	DNA topoisomerase IV subunit A ParC	NA	NA
ERR3959021	NA	ERR3959021.contig00011	7986	8630	-	catA	type A-8 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTX	215	215	100.00	97.21	215	WP_002352254.1	type A-8 chloramphenicol O-acetyltransferase	NA	NA
ERR3959021	NA	ERR3959021.contig00011	9675	11048	-	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	458	458	100.00	100.00	458	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	NA	NA
ERR3959021	NA	ERR3959021.contig00011	11245	13161	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_001574275.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
ERR3959021	NA	ERR3959021.contig00011	39700	40545	+	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTX	282	282	100.00	99.65	282	WP_001258486.1	streptomycin adenylyltransferase Str	NA	NA
ERR3959021	NA	ERR3959021.contig00011	50809	51543	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
ERR3959021	NA	ERR3959021.contig00015	278	2242	-	optrA	ABC-F type ribosomal protection protein OptrA	core	AMR	AMR	OXAZOLIDINONE/PHENICOL	FLORFENICOL/OXAZOLIDINONE	EXACTX	655	655	100.00	100.00	655	WP_063854496.1	ABC-F type ribosomal protection protein OptrA	NA	NA
ERR3959021	NA	ERR3959021.contig00015	2933	4357	-	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	475	475	100.00	98.95	475	WP_032491576.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NA	NA
ERR3959021	NA	ERR3959021.contig00016	256	1047	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
ERR3959021	NA	ERR3959021.contig00016	1143	1682	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	180	180	100.00	100.00	180	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
ERR3959021	NA	ERR3959021.contig00016	1682	2587	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	302	302	100.00	100.00	302	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
ERR3959021	NA	ERR3959021.contig00016	6098	6898	-	lnu(B)	lincosamide nucleotidyltransferase Lnu(B)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	267	267	100.00	100.00	267	WP_002294514.1	lincosamide nucleotidyltransferase Lnu(B)	NA	NA
ERR3959021	NA	ERR3959021.contig00016	6955	8436	-	lsa(E)	ABC-F type ribosomal protection protein Lsa(E)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	494	494	100.00	99.80	494	WP_002294513.1	ABC-F type ribosomal protection protein Lsa(E)	NA	NA
ERR3959021	NA	ERR3959021.contig00016	10506	11312	-	spw	ANT(9) family aminoglycoside nucleotidyltransferase Spw	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTX	269	269	100.00	100.00	269	WP_002294509.1	ANT(9) family aminoglycoside nucleotidyltransferase Spw	NA	NA
ERR3959021	NA	ERR3959021.contig00016	12018	12767	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	250	287	87.11	100.00	250	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
ERR3959021	NA	ERR3959021.contig00016	12940	14376	-	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NA	NA
ERR3959021	NA	ERR3959021.contig00018	1923	2408	-	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	162	165	98.18	100.00	162	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
ERR3959022	NA	ERR3959022.contig00001	101635	103128	+	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.80	498	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
ERR3959022	NA	ERR3959022.contig00002	251859	253775	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
ERR3959022	NA	ERR3959022.contig00022	8517	10481	-	optrA	ABC-F type ribosomal protection protein OptrA	core	AMR	AMR	OXAZOLIDINONE/PHENICOL	FLORFENICOL/OXAZOLIDINONE	EXACTX	655	655	100.00	100.00	655	WP_063854496.1	ABC-F type ribosomal protection protein OptrA	NA	NA
ERR3959022	NA	ERR3959022.contig00022	11172	12596	-	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	475	475	100.00	98.95	475	WP_032491576.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NA	NA
ERR3959022	NA	ERR3959022.contig00023	5912	6817	+	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	302	302	100.00	100.00	302	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
ERR3959022	NA	ERR3959022.contig00023	7390	8181	+	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
ERR3959022	NA	ERR3959022.contig00023	8934	9668	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
ERR3959022	NA	ERR3959022.contig00025	1945	2724	-	ant(9)-Ia	aminoglycoside nucleotidyltransferase ANT(9)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	EXACTX	260	260	100.00	100.00	260	WP_000067268.1	aminoglycoside nucleotidyltransferase ANT(9)-Ia	NA	NA
ERR3959023	NA	ERR3959023.contig00001	388966	391425	+	parC_S80I	Enterococcus faecalis quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	820	820	100.00	99.63	820	WP_002371880.1	DNA topoisomerase IV subunit A ParC	NA	NA
ERR3959023	NA	ERR3959023.contig00002	408463	409956	-	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.60	498	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
ERR3959023	NA	ERR3959023.contig00004	204890	207388	-	gyrA_E87G	Enterococcus faecalis quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	833	833	100.00	99.76	833	WP_033785346.1	DNA gyrase subunit A GyrA	NA	NA
ERR3959023	NA	ERR3959023.contig00011	8499	10415	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_001574275.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
ERR3959023	NA	ERR3959023.contig00011	10612	11985	+	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	458	458	100.00	100.00	458	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	NA	NA
ERR3959023	NA	ERR3959023.contig00011	24235	24969	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
ERR3959023	NA	ERR3959023.contig00011	29419	30843	+	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	475	475	100.00	98.95	475	WP_032491576.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NA	NA
ERR3959023	NA	ERR3959023.contig00011	31533	33497	+	optrA	ABC-F type ribosomal protection protein OptrA	core	AMR	AMR	OXAZOLIDINONE/PHENICOL	FLORFENICOL/OXAZOLIDINONE	BLASTX	655	655	100.00	99.54	655	WP_063854496.1	ABC-F type ribosomal protection protein OptrA	NA	NA
ERR3959023	NA	ERR3959023.contig00011	46067	46912	-	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	282	282	100.00	100.00	282	WP_001258486.1	streptomycin adenylyltransferase Str	NA	NA
ERR3959023	NA	ERR3959023.contig00012	30236	31036	-	lnu(G)	lincosamide nucleotidyltransferase Lnu(G)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	267	267	100.00	100.00	267	WP_002333496.1	lincosamide nucleotidyltransferase Lnu(G)	NA	NA
ERR3959024	NA	ERR3959024.contig00003	35322	37781	+	parC_S80I	Enterococcus faecalis quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	820	820	100.00	99.76	820	WP_002371880.1	DNA topoisomerase IV subunit A ParC	NA	NA
ERR3959024	NA	ERR3959024.contig00005	116584	119082	-	gyrA_S83Y	Enterococcus faecalis quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	833	833	100.00	99.64	833	WP_033785346.1	DNA gyrase subunit A GyrA	NA	NA
ERR3959024	NA	ERR3959024.contig00005	154402	156318	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_001574275.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
ERR3959024	NA	ERR3959024.contig00005	156515	157888	+	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	458	458	100.00	100.00	458	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	NA	NA
ERR3959024	NA	ERR3959024.contig00009	72397	73890	-	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.60	498	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
ERR3959024	NA	ERR3959024.contig00009	91754	92248	+	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
ERR3959024	NA	ERR3959024.contig00019	9334	11298	-	optrA	ABC-F type ribosomal protection protein OptrA	core	AMR	AMR	OXAZOLIDINONE/PHENICOL	FLORFENICOL/OXAZOLIDINONE	BLASTX	655	655	100.00	99.69	655	WP_063854496.1	ABC-F type ribosomal protection protein OptrA	NA	NA
ERR3959024	NA	ERR3959024.contig00019	11989	13413	-	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	475	475	100.00	98.95	475	WP_032491576.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NA	NA
ERR3959024	NA	ERR3959024.contig00025	4091	4825	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
ERR3959024	NA	ERR3959024.contig00025	9155	9661	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	169	287	58.89	99.41	169	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
ERR3959024	NA	ERR3959024.contig00025	10144	10935	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
ERR3959024	NA	ERR3959024.contig00025	11031	11570	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	180	180	100.00	100.00	180	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
ERR3959024	NA	ERR3959024.contig00025	11570	12091	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDX	174	302	57.62	100.00	174	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
ERR3959024	NA	ERR3959024.contig00033	294	1139	-	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	282	282	100.00	100.00	282	WP_010711054.1	streptomycin adenylyltransferase Str	NA	NA
ERR3959024	NA	ERR3959024.contig00036	247	891	-	catA	type A-8 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	215	215	100.00	100.00	215	WP_002352254.1	type A-8 chloramphenicol O-acetyltransferase	NA	NA
SAMD00211632	NA	SAMD00211632.contig00002	101030	102523	+	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.00	498	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
SAMD00211632	NA	SAMD00211632.contig00003	92943	94859	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_002364936.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMD00211632	NA	SAMD00211632.contig00025	772	1278	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	169	287	58.89	99.41	169	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
SAMD00211632	NA	SAMD00211632.contig00025	1761	2552	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
SAMD00211632	NA	SAMD00211632.contig00025	2648	3187	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	180	180	100.00	100.00	180	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
SAMD00211632	NA	SAMD00211632.contig00025	3187	3981	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	265	302	87.75	100.00	265	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
SAMD00211632	NA	SAMD00211632.contig00025	4154	5590	-	aac(6')-Ie/aph(2'')-Ia	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTX	479	479	100.00	100.00	479	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	NA	NA
SAMD00211632	NA	SAMD00211632.contig00030	2131	2661	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	PARTIAL_CONTIG_ENDX	177	245	72.24	100.00	177	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
SAMD00211633	NA	SAMD00211633.contig00002	419968	421884	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_002364936.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
SAMD00211633	NA	SAMD00211633.contig00005	82084	82578	-	dfrG	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	165	165	100.00	100.00	165	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	NA	NA
SAMD00211633	NA	SAMD00211633.contig00009	2994	4487	-	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.40	498	WP_002365053.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
SAMD00211633	NA	SAMD00211633.contig00011	3988	4788	-	lnu(B)	lincosamide nucleotidyltransferase Lnu(B)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	267	267	100.00	100.00	267	WP_002294514.1	lincosamide nucleotidyltransferase Lnu(B)	NA	NA
SAMD00211633	NA	SAMD00211633.contig00011	4845	6326	-	lsa(E)	ABC-F type ribosomal protection protein Lsa(E)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	EXACTX	494	494	100.00	100.00	494	WP_002294513.1	ABC-F type ribosomal protection protein Lsa(E)	NA	NA
